0 Unknown
1 Unknown
2 Unknown
3 Unknown
4 Unknown
5 Unknown
6 Unknown
7 Unknown
8 Unknown
9 Unknown
10 Unknown
11 Unknown
12 Unknown
13 Unknown
14 Unknown
15 Unknown
16 Unknown
17 Unknown
18 Unknown
19 Unknown
20 Unknown
21 Unknown
22 Unknown
23 Unknown
24 Unknown
25 Unknown
26 Unknown
27 Unknown
28 Unknown
29 Extracellular exchange
30 Extracellular exchange
31 Extracellular exchange
32 Extracellular exchange
33 Extracellular exchange
34 Extracellular exchange
35 Extracellular exchange
36 Extracellular exchange
37 Extracellular exchange
38 Extracellular exchange
39 Extracellular exchange
40 Extracellular exchange
41 Extracellular exchange
42 Extracellular exchange
43 Extracellular exchange
44 Extracellular exchange
45 Extracellular exchange
46 Extracellular exchange
47 Extracellular exchange
48 Extracellular exchange
49 Extracellular exchange
50 Extracellular exchange
51 Extracellular exchange
52 Extracellular exchange
53 Extracellular exchange
54 Extracellular exchange
55 Extracellular exchange
56 Extracellular exchange
57 Extracellular exchange
58 Extracellular exchange
59 Extracellular exchange
60 Extracellular exchange
61 Extracellular exchange
62 Extracellular exchange
63 Extracellular exchange
64 Extracellular exchange
65 Extracellular exchange
66 Extracellular exchange
67 Extracellular exchange
68 Extracellular exchange
69 Extracellular exchange
70 Extracellular exchange
71 Extracellular exchange
72 Extracellular exchange
73 Extracellular exchange
74 Extracellular exchange
75 Extracellular exchange
76 Extracellular exchange
77 Extracellular exchange
78 Extracellular exchange
79 Extracellular exchange
80 Extracellular exchange
81 Extracellular exchange
82 Extracellular exchange
83 Extracellular exchange
84 Extracellular exchange
85 Extracellular exchange
86 Extracellular exchange
87 Extracellular exchange
88 Extracellular exchange
89 Extracellular exchange
90 Extracellular exchange
91 Extracellular exchange
92 Extracellular exchange
93 Extracellular exchange
94 Extracellular exchange
95 Extracellular exchange
96 Extracellular exchange
97 Extracellular exchange
98 Extracellular exchange
99 Extracellular exchange
100 Extracellular exchange
101 Extracellular exchange
102 Extracellular exchange
103 Extracellular exchange
104 Extracellular exchange
105 Extracellular exchange
106 Extracellular exchange
107 Extracellular exchange
108 Extracellular exchange
109 Extracellular exchange
110 Extracellular exchange
111 Extracellular exchange
112 Extracellular exchange
113 Extracellular exchange
114 Extracellular exchange
115 Extracellular exchange
116 Extracellular exchange
117 Extracellular exchange
118 Extracellular exchange
119 Extracellular exchange
120 Extracellular exchange
121 Extracellular exchange
122 Extracellular exchange
123 Extracellular exchange
124 Extracellular exchange
125 Extracellular exchange
126 Extracellular exchange
127 Extracellular exchange
128 Extracellular exchange
129 Extracellular exchange
130 Extracellular exchange
131 Extracellular exchange
132 Extracellular exchange
133 Extracellular exchange
134 Extracellular exchange
135 Extracellular exchange
136 Extracellular exchange
137 Extracellular exchange
138 Extracellular exchange
139 Extracellular exchange
140 Extracellular exchange
141 Extracellular exchange
142 Extracellular exchange
143 Extracellular exchange
144 Extracellular exchange
145 Extracellular exchange
146 Extracellular exchange
147 Extracellular exchange
148 Extracellular exchange
