,cycle,host biomass,virus mass,ATPM,VBOF
0,0.0,5e-06,0.0,1.0,0.0164717902712
1,0.01,5e-06,8.235895135600001e-10,1.0,0.0164717902712
2,0.02,5e-06,1.6471790271200002e-09,1.0,0.0164717902712
3,0.03,5e-06,2.4707685406800002e-09,1.0,0.0164717902712
4,0.04,5e-06,3.2943580542400004e-09,1.0,0.0164717902712
5,0.05,5e-06,4.1179475678e-09,1.0,0.0164717902712
6,0.06,5e-06,4.9415370813600004e-09,1.0,0.0164717902712
7,0.07,5e-06,5.765126594920001e-09,1.0,0.0164717902712
8,0.08,5e-06,6.588716108480001e-09,1.0,0.0164717902712
9,0.09,5e-06,7.412305622040001e-09,1.0,0.0164717902712
10,0.1,5e-06,8.2358951356e-09,1.0,0.0164717902712
11,0.11,5e-06,9.05948464916e-09,1.0,0.0164717902712
12,0.12,5e-06,9.88307416272e-09,1.0,0.0164717902712
13,0.13,5e-06,1.0706663676279999e-08,1.0,0.0164717902712
14,0.14,5e-06,1.1530253189839998e-08,1.0,0.0164717902712
15,0.15,5e-06,1.2353842703399997e-08,1.0,0.0164717902712
16,0.16,5e-06,1.3177432216959997e-08,1.0,0.0164717902712
17,0.17,5e-06,1.4001021730519996e-08,1.0,0.0164717902712
18,0.18,5e-06,1.4824611244079995e-08,1.0,0.0164717902712
19,0.19,5e-06,1.5648200757639995e-08,1.0,0.0164717902712
20,0.2,5e-06,1.6471790271199994e-08,1.0,0.0164717902712
21,0.21,5e-06,1.7295379784759994e-08,1.0,0.0164717902712
22,0.22,5e-06,1.8118969298319993e-08,1.0,0.0164717902712
23,0.23,5e-06,1.8942558811879992e-08,1.0,0.0164717902712
24,0.24,5e-06,1.9766148325439992e-08,1.0,0.0164717902712
25,0.25,5e-06,2.058973783899999e-08,1.0,0.0164717902712
26,0.26,5e-06,2.141332735255999e-08,1.0,0.0164717902712
27,0.27,5e-06,2.223691686611999e-08,1.0,0.0164717902712
28,0.28,5e-06,2.306050637967999e-08,1.0,0.0164717902712
29,0.29,5e-06,2.388409589323999e-08,1.0,0.0164717902712
30,0.3,5e-06,2.4707685406799988e-08,1.0,0.0164717902712
31,0.31,5e-06,2.5531274920359987e-08,1.0,0.0164717902712
32,0.32,5e-06,2.6354864433919987e-08,1.0,0.0164717902712
33,0.33,5e-06,2.7178453947479986e-08,1.0,0.0164717902712
34,0.34,5e-06,2.8002043461039986e-08,1.0,0.0164717902712
35,0.35000000000000003,5e-06,2.8825632974599985e-08,1.0,0.0164717902712
36,0.36,5e-06,2.9649222488159984e-08,1.0,0.0164717902712
37,0.37,5e-06,3.0472812001719984e-08,1.0,0.0164717902712
38,0.38,5e-06,3.129640151527998e-08,1.0,0.0164717902712
