Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 0.6843, 0, 1001, 7.956825296499868e-07
500, 0.6843, 0.05, 1001, 7.956825296499868e-07
500, 0.6843, 0.1, 1001, 7.956825296499868e-07
500, 0.6843, 0.15, 1001, 7.956825296549868e-07
500, 0.6843, 0.2, 1001, 7.956825296650092e-07
500, 0.6843, 0.25, 1001, 7.956825296699931e-07
500, 0.6843, 0.3, 1001, 7.956825296749922e-07
500, 0.6843, 0.35, 1001, 3.3152263403894696e-07
500, 0.6843, 0.4, 108, 7.571885147319325e-09
500, 0.6843, 0.45, 59, 4.602129889881787e-09
500, 0.6843, 0.5, 59, 4.602129889882616e-09
500, 0.6843, 0.55, 59, 4.6021298899395015e-09
500, 0.6843, 0.6, 59, 4.6021298899395015e-09
500, 0.6843, 0.65, 59, 4.6021298899395015e-09
500, 0.6843, 0.7, 59, 4.6021298899395015e-09
500, 0.6843, 0.75, 59, 4.6021298899395015e-09
500, 0.6843, 0.8, 59, 4.6021298899395015e-09
500, 0.6843, 0.85, 59, 4.6021298899395015e-09
500, 0.6843, 0.9, 59, 4.6021298899395015e-09
500, 0.6843, 0.95, 59, 4.6021298899395015e-09
500, 0.6843, 1, 59, 4.602129889804935e-09
