Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1, 0, 1001, 9.343659936500086e-07
500, 1, 0.05, 1001, 9.343659936599847e-07
500, 1, 0.1, 1001, 9.34365993670015e-07
500, 1, 0.15, 1001, 9.343659936650193e-07
500, 1, 0.2, 1001, 9.343659936749978e-07
500, 1, 0.25, 1001, 9.343659936650193e-07
500, 1, 0.3, 1001, 9.343659936528896e-07
500, 1, 0.35, 1001, 9.343659936500086e-07
500, 1, 0.4, 1001, 9.343659936500086e-07
500, 1, 0.45, 1001, 9.343659936500086e-07
500, 1, 0.5, 1001, 9.343659936500086e-07
500, 1, 0.55, 1001, 9.343659936500086e-07
500, 1, 0.6, 1001, 9.343659936500086e-07
500, 1, 0.65, 1001, 9.343659936500086e-07
500, 1, 0.7, 1001, 9.343659936500086e-07
500, 1, 0.75, 1001, 9.343659936500086e-07
500, 1, 0.8, 1001, 9.343659936500086e-07
500, 1, 0.85, 1001, 9.343659936500086e-07
500, 1, 0.9, 1001, 9.343659936500086e-07
500, 1, 0.95, 1001, 9.343659936500086e-07
500, 1, 1, 1001, 9.343659936500086e-07
