Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 0.6843, 0.1, 1001, 9.343659936450124e-07
500, 0.6843, 0.25, 1001, 9.343659936749978e-07
500, 0.6843, 0.4, 1001, 9.343659936500086e-07
500, 0.6843, 0.55, 1001, 9.343659936500086e-07
500, 0.6843, 0.7, 1001, 9.343659936500086e-07
500, 0.6843, 0.75, 1001, 9.343659936500086e-07
500, 0.6843, 0.8, 1001, 9.343659936500086e-07
500, 0.6843, 0.85, 1001, 9.343659936500086e-07
500, 0.6843, 0.9, 1001, 9.343659936500086e-07
500, 0.6843, 0.95, 1001, 9.343659936500086e-07
500, 0.6843, 1, 1001, 9.343659936500086e-07
