Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 0.75, 0, 302, 1.4301322248200003e-08
500, 0.75, 0.05, 302, 1.4301322247699997e-08
500, 0.75, 0.1, 302, 1.4301322247865002e-08
500, 0.75, 0.15, 302, 1.4301322247865002e-08
500, 0.75, 0.2, 302, 1.4301322247860002e-08
500, 0.75, 0.25, 302, 1.43013222479e-08
500, 0.75, 0.3, 307, 1.4447194646400099e-08
500, 0.75, 0.35, 141, 8.90350084169255e-09
500, 0.75, 0.4, 63, 4.532256409443099e-09
500, 0.75, 0.45, 43, 3.4245451420210107e-09
500, 0.75, 0.5, 43, 3.4245451420355463e-09
500, 0.75, 0.55, 43, 3.4245451420210107e-09
500, 0.75, 0.6, 43, 3.4245451420210107e-09
500, 0.75, 0.65, 43, 3.4245451420210107e-09
500, 0.75, 0.7, 43, 3.4245451420210107e-09
500, 0.75, 0.75, 43, 3.4245451420210107e-09
500, 0.75, 0.8, 43, 3.4245451420210107e-09
500, 0.75, 0.85, 43, 3.4245451420210107e-09
500, 0.75, 0.9, 43, 3.4245451420210107e-09
500, 0.75, 0.95, 43, 3.4245451420210107e-09
500, 0.75, 1, 43, 3.4245451420216885e-09
