Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 0, 0, 1001, 1.7776914759e-08
500, 0, 0.05, 1001, 1.77769147595125e-08
500, 0, 0.1, 1001, 1.7776914759100002e-08
500, 0, 0.15, 1001, 1.777691475883e-08
500, 0, 0.2, 1001, 1.7776914759410003e-08
500, 0, 0.25, 1001, 1.7776914759175007e-08
500, 0, 0.3, 1001, 1.7776914758920004e-08
500, 0, 0.35, 1001, 1.7776914759500007e-08
500, 0, 0.4, 1001, 1.7776914759140008e-08
500, 0, 0.45, 1001, 1.7776914758925007e-08
500, 0, 0.5, 1001, 1.7776914759250003e-08
500, 0, 0.55, 1001, 1.7776914758925007e-08
500, 0, 0.6, 1001, 1.7776914759140008e-08
500, 0, 0.65, 1001, 1.7776914759500007e-08
500, 0, 0.7, 1001, 1.7776914758920004e-08
500, 0, 0.75, 1001, 1.7776914759175007e-08
500, 0, 0.8, 1001, 1.7776914759410003e-08
500, 0, 0.85, 1001, 1.777691475883e-08
500, 0, 0.9, 1001, 1.7776914759100002e-08
500, 0, 0.95, 1001, 1.77769147595125e-08
500, 0, 1, 1001, 1.7776914759e-08
