Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 0.7121, 0, 262, 1.7776914759e-08
500, 0.7121, 0.05, 262, 1.7776914758985004e-08
500, 0.7121, 0.1, 262, 1.777691475907e-08
500, 0.7121, 0.15, 262, 1.777691475904999e-08
500, 0.7121, 0.2, 262, 1.7776914759140004e-08
500, 0.7121, 0.25, 262, 1.7776914758790004e-08
500, 0.7121, 0.3, 262, 1.7776914758824994e-08
500, 0.7121, 0.35, 262, 1.7776914759629993e-08
500, 0.7121, 0.4, 262, 1.7776914759e-08
500, 0.7121, 0.45, 262, 1.7776914759e-08
500, 0.7121, 0.5, 262, 1.7776914759e-08
500, 0.7121, 0.55, 262, 1.7776914759e-08
500, 0.7121, 0.6, 262, 1.7776914759e-08
500, 0.7121, 0.65, 262, 1.7776914759e-08
500, 0.7121, 0.7, 262, 1.7776914759e-08
500, 0.7121, 0.75, 262, 1.7776914759e-08
500, 0.7121, 0.8, 262, 1.7776914759e-08
500, 0.7121, 0.85, 262, 1.7776914759e-08
500, 0.7121, 0.9, 262, 1.7776914759e-08
500, 0.7121, 0.95, 262, 1.7776914759e-08
500, 0.7121, 1, 262, 1.7776914759e-08
