Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.75, 0, 49, 1.3081123911100002e-08
500, 1.75, 0.05, 42, 1.3477791127723598e-08
500, 1.75, 0.1, 37, 1.3732877685484436e-08
500, 1.75, 0.15, 34, 1.391162957615753e-08
500, 1.75, 0.2, 31, 1.4043259766748774e-08
500, 1.75, 0.25, 29, 1.4103583355706953e-08
500, 1.75, 0.3, 27, 1.4151669960383145e-08
500, 1.75, 0.35, 25, 1.4200130232678485e-08
500, 1.75, 0.4, 24, 1.424724089361593e-08
500, 1.75, 0.45, 23, 1.4248008964231737e-08
500, 1.75, 0.5, 23, 1.4245561230642234e-08
500, 1.75, 0.55, 22, 1.4243590005041259e-08
500, 1.75, 0.6, 22, 1.4241979157195237e-08
500, 1.75, 0.65, 21, 1.4240623532656484e-08
500, 1.75, 0.7, 21, 1.4239486276613983e-08
500, 1.75, 0.75, 21, 1.4238507653277263e-08
500, 1.75, 0.8, 20, 1.4237639864686861e-08
500, 1.75, 0.85, 20, 1.4236892366816203e-08
500, 1.75, 0.9, 19, 1.4236162083640554e-08
500, 1.75, 0.95, 19, 1.4235620402582991e-08
500, 1.75, 1, 17, 1.4015489904750003e-08
